"Year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"1","9167.568745064136","8663.22345713641","6544.511200136786","7002.809031296534","6572.941817204513","8770.27132768735","8078.672233823195","8729.313738428147","6633.736493659296","6495.526266130789","6776.393006789827","8529.870768439798"
"2","8344.844627513401","8048.5100683453265","6154.606399798628","5872.52797658941","6131.003146938875","7971.749767286457","7789.114741721944","7959.404772634118","6232.810690288181","6451.847132967603","5872.029493806899","7970.400981808044"
"3","7778.80899957291","8090.950708410289","6504.182917087925","6004.154014161749","6323.967214238832","7421.762033606039","7865.104268019406","7690.464224095955","6021.735778616107","6039.861675653727","6497.473792490901","7692.242807874611"
"4","8693.015276188557","8445.319225641097","6630.1137897337585","6431.628938132698","6725.417386322305","8361.109565409795","8515.463422704217","8617.654296406647","6466.701247097639","6814.074193301041","6794.615871739537","9013.404750763999"
"5","7868.350983993931","7897.037311380368","5923.931514481583","6364.0401823724405","6453.239490063961","7856.031644967219","7930.566230227083","7724.120036684431","6407.8384662249855","6303.150087912996","6210.331962510082","7737.112751848616"
"6","8205.395761285537","8143.544628902432","6344.139856794921","6754.451894806606","6723.638484407968","8265.359423628612","8045.398216274849","8346.59201926069","6234.344959357146","6591.877874251032","6310.986599682608","8476.77459145761"
"7","8210.206372129654","8107.737751748207","6433.574914060742","6518.189405852215","6526.868928965371","7565.674261775358","7656.11303111051","7647.987754149819","6312.391360993827","6416.5371575068675","6493.804587194498","7790.602618474413"
"8","8293.486871790526","8166.485128357198","6334.166793327086","6425.144062522698","6534.985585915799","7894.785173201086","8193.634264631728","7996.588002944245","6226.808957444776","6379.383042675462","6691.56575810078","8403.603347086178"
"9","8090.410841706836","7925.583134174588","6390.1143467118945","6238.480994646638","6046.850566253766","8177.133268047712","7816.869565008312","8178.790156289441","6435.315608735005","6333.0254899284455","6537.408209980816","8041.344903223956"
"10","8016.205297845762","8572.919931986615","6603.592261993232","6201.481630695546","6240.327799408063","8208.85116402139","7680.209868292867","7960.0438346856845","6253.838985254202","6655.972879156884","6365.504532022076","7968.202031413176"
